Monitoring Location Latitude,Monitoring Location Longitude
48.145,-87.703
47.607,-87.71
48.6,-87.8
48.3,-87.8
48,-87.8
47.7,-87.8
47.1,-87.8
47.85611,-88.04194
48.6,-88.1
48.3,-88.1
48,-88.1
47.7,-88.1
47.1,-88.1
48.575,-88.117
47.017,-88.183
47.605,-88.217
47.848,-88.337
48.3,-88.4
48,-88.4
47.7,-88.4
48.108,-88.458
48.3,-88.7
48,-88.7
47.7,-88.7
47.4,-88.7
47.740833,-88.7375
47.367,-88.818
48.417,-88.933
48.302,-88.95
48.3,-89
47.7,-89
47.613,-89
47.4,-89
47.1,-89
47.027,-89.038
47.803,-89.147
48.15,-89.148
48.298,-89.18
48.08275,-89.25333
48,-89.3
47.7,-89.3
47.4,-89.3
47.1,-89.3
47.62139,-89.46306
47.688,-89.467
48,-89.6
47.7,-89.6
47.4,-89.6
47.1,-89.6
47.883,-89.64
47.16444,-89.66194
47.207,-89.667
47.7,-89.9
47.4,-89.9
47.1,-89.9
46.8,-89.9
47.45,-89.921
46.7,-90.032
47.51444,-90.15194
46.845,-90.189
47.7,-90.2
47.4,-90.2
47.1,-90.2
46.8,-90.2
47.7458,-90.235
47.1,-90.463
47.7,-90.5
47.4,-90.5
47.1,-90.5
46.8,-90.5
46.748,-90.703
47.4,-90.8
47.1,-90.8
46.8,-90.8
47.37028,-90.85389
47.467,-90.905
47.4,-91.1
47.1,-91.1
46.8,-91.1
47.132,-91.112
47.1,-91.4
46.8,-91.4
46.938,-91.448
46.75,-91.675
46.8,-91.7
46.907,-91.82
46.817,-91.885
46.8,-92
46.782,-92.054
43.9,-76.2
43.6,-76.2
43.9,-76.5
43.6,-76.5
43.75,-76.518
43.542,-76.618
43.887,-76.733
43.9,-76.8
43.6,-76.8
43.525,-76.927
43.9,-77.1
43.6,-77.1
43.3,-77.1
43.787,-77.158
43.9,-77.4
43.6,-77.4
43.3,-77.4
43.275,-77.592
43.9,-77.7
43.6,-77.7
43.3,-77.7
43.383,-77.99
43.9,-78
43.6,-78
43.59,-78.012
43.717,-78.027
43.9,-78.3
43.6,-78.3
43.6,-78.6
42.849,-78.941
42.7,-79
42.791,-79.208
42.7,-79.3
42.817,-79.383
42.475,-79.409
42.591,-79.466
42.708,-79.508
42.766,-79.556
42.811,-79.565
42.825,-79.567
42.845,-79.575
42.7,-79.6
42.4,-79.6
42.538,-79.617
43.268,-79.62
42.68,-79.6917
42.647,-79.692
43.3,-79.7
42.8,-79.7
42.442,-79.833
42.325,-79.833
42.259,-79.833
42.7,-79.9
42.507,-79.9
42.567,-79.917
42.767,-79.967
42.634,-80.059
45.325,-80.117
42.717,-80.25
42.4,-80.5
42.1,-80.5
42.575,-80.642
42.533,-80.642
42.4,-80.642
42.167,-80.642
41.992,-80.642
41.957,-80.642
42.4,-80.8
42.1,-80.8
42.0817,-81.0117
42.4,-81.1
42.1,-81.1
42.25,-81.108
42.43,-81.205
42.1167,-81.25
42.4,-81.4
42.1,-81.4
41.8,-81.4
42.588,-81.442
42.475,-81.442
42.358,-81.442
42.208,-81.442
42.025,-81.442
41.8,-81.442
41.692,-81.442
41.935,-81.4783
41.936,-81.654
42.281,-81.671
42.4,-81.7
42.1,-81.7
41.8,-81.7
41.525,-81.708
41.683,-81.742
41.9778,-81.7569
43.957,-81.787
43.325,-81.788
43.3,-81.8
