MonitoringLocationName,MonitoringLocationID,ActivityType,ActivityMediaName,ActivityStartDate,CharacteristicName,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType
Lake Huron,60,Sample-Routine,Surface Water,2022-09-16,Turbidity,,0.15,NTU,Actual
Lake Huron,60,Sample-Routine,Surface Water,2024-09-06,Turbidity,,0.21,NTU,Actual
Lake Ontario,25,Sample-Routine,Surface Water,2022-04-20,Turbidity,,0.08,NTU,Actual
Lake Huron,11,Sample-Routine,Surface Water,2022-09-21,Turbidity,,0.18,NTU,Actual
Lake Huron,11,Sample-Routine,Surface Water,2024-08-28,Turbidity,,0.16,NTU,Actual
Lake Ontario,67,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.08,NTU,Actual
Lake Ontario,67,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.14,NTU,Actual
Georgian Bay,29,Sample-Routine,Surface Water,2022-06-05,Turbidity,,0.1,NTU,Actual
Georgian Bay,29,Sample-Routine,Surface Water,2022-09-14,Turbidity,,0.18,NTU,Actual
Georgian Bay,29,Sample-Routine,Surface Water,2024-09-07,Turbidity,,0.24,NTU,Actual
Lake Superior,139,Sample-Routine,Surface Water,2024-09-19,Turbidity,,0.22,NTU,Actual
Lake Superior,139,Sample-Routine,Surface Water,2024-06-14,Turbidity,,0.44,NTU,Actual
Lake Huron,64,Sample-Routine,Surface Water,2022-06-03,Turbidity,,0.15,NTU,Actual
Lake Huron,64,Sample-Routine,Surface Water,2022-09-16,Turbidity,,0.24,NTU,Actual
Lake Huron,64,Sample-Routine,Surface Water,2024-09-05,Turbidity,,0.15,NTU,Actual
Lake Superior,50,Sample-Routine,Surface Water,2024-09-14,Turbidity,,0.16,NTU,Actual
Lake Superior,50,Sample-Routine,Surface Water,2024-06-09,Turbidity,,0.18,NTU,Actual
Lake Huron,67,Sample-Routine,Surface Water,2022-06-03,Turbidity,,0.37,NTU,Actual
Lake Huron,67,Sample-Routine,Surface Water,2022-09-16,Turbidity,,0.57,NTU,Actual
Lake Huron,67,Sample-Routine,Surface Water,2024-09-05,Turbidity,,0.21,NTU,Actual
Lake Ontario,9,Sample-Routine,Surface Water,2022-04-20,Turbidity,,0.12,NTU,Actual
Lake Huron,20,Sample-Routine,Surface Water,2022-09-20,Turbidity,,0.18,NTU,Actual
Lake Huron,20,Sample-Routine,Surface Water,2024-08-27,Turbidity,,0.11,NTU,Actual
Lake Huron,40,Sample-Routine,Surface Water,2022-09-19,Turbidity,,0.13,NTU,Actual
Lake Huron,40,Sample-Routine,Surface Water,2024-08-29,Turbidity,,0.23,NTU,Actual
Lake Ontario,66,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.16,NTU,Actual
Lake Ontario,66,Sample-Routine,Surface Water,2023-04-15,Turbidity,,0.56,NTU,Actual
Lake Erie,886,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.24,NTU,Actual
Lake Erie,886,Sample-Routine,Surface Water,2023-05-09,Turbidity,,0.37,NTU,Actual
Lake Erie,886,Sample-Routine,Surface Water,2024-04-20,Turbidity,,0.59,NTU,Actual
Lake Erie,886,Sample-Routine,Surface Water,2024-08-19,Turbidity,,0.32,NTU,Actual
Lake Huron,52,Sample-Routine,Surface Water,2022-09-18,Turbidity,,0.13,NTU,Actual
Lake Huron,52,Sample-Routine,Surface Water,2024-09-06,Turbidity,,0.28,NTU,Actual
Lake Erie,954,Sample-Routine,Surface Water,2022-08-18,Turbidity,,0.34,NTU,Actual
Lake Erie,954,Sample-Routine,Surface Water,2023-05-18,Turbidity,,0.91,NTU,Actual
Lake Erie,954,Sample-Routine,Surface Water,2024-08-15,Turbidity,,0.34,NTU,Actual
Lake Ontario,725,Sample-Routine,Surface Water,2022-04-20,Turbidity,,0.49,NTU,Actual
Lake Ontario,725,Sample-Routine,Surface Water,2023-04-18,Turbidity,,1.95,NTU,Actual
Georgian Bay,46,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.37,NTU,Actual
Georgian Bay,46,Sample-Routine,Surface Water,2024-09-07,Turbidity,,0.48,NTU,Actual
Lake Huron,69,Sample-Routine,Surface Water,2022-09-16,Turbidity,,2.26,NTU,Actual
Lake Huron,69,Sample-Routine,Surface Water,2022-06-03,Turbidity,,4.41,NTU,Actual
Lake Huron,69,Sample-Routine,Surface Water,2024-09-05,Turbidity,,2.3,NTU,Actual
Lake Huron,65,Sample-Routine,Surface Water,2022-09-16,Turbidity,,0.22,NTU,Actual
Lake Huron,65,Sample-Routine,Surface Water,2024-09-05,Turbidity,,0.15,NTU,Actual
Lake Huron,70,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.3,NTU,Actual
Lake Huron,70,Sample-Routine,Surface Water,2022-06-03,Turbidity,,0.41,NTU,Actual
Lake Huron,70,Sample-Routine,Surface Water,2024-09-05,Turbidity,,0.23,NTU,Actual
Lake Superior,92,Sample-Routine,Surface Water,2024-06-17,Turbidity,,0.17,NTU,Actual
Lake Superior,92,Sample-Routine,Surface Water,2024-09-23,Turbidity,,0.14,NTU,Actual
Lake Huron,77,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.2,NTU,Actual
Lake Huron,77,Sample-Routine,Surface Water,2024-09-06,Turbidity,,0.18,NTU,Actual
Georgian Bay,6,Sample-Routine,Surface Water,2022-06-05,Turbidity,,0.09,NTU,Actual
Georgian Bay,6,Sample-Routine,Surface Water,2022-09-13,Turbidity,,0.15,NTU,Actual
Georgian Bay,6,Sample-Routine,Surface Water,2024-09-09,Turbidity,,0.17,NTU,Actual
Lake Ontario,45,Sample-Routine,Surface Water,2022-04-22,Turbidity,,0.1,NTU,Actual
Lake Ontario,45,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.14,NTU,Actual
Lake Erie,974,Sample-Routine,Surface Water,2022-08-20,Turbidity,,3.73,NTU,Actual
Lake Erie,974,Sample-Routine,Surface Water,2023-05-16,Turbidity,,14.4,NTU,Actual
Lake Erie,974,Sample-Routine,Surface Water,2023-05-16,Turbidity,,14.8,NTU,Actual
Lake Erie,974,Sample-Routine,Surface Water,2024-04-17,Turbidity,,14.2,NTU,Actual
Lake Erie,974,Sample-Routine,Surface Water,2024-08-14,Turbidity,,13.9,NTU,Actual
Lake Erie,67,Sample-Routine,Surface Water,2022-08-15,Turbidity,,0.32,NTU,Actual
Lake Erie,67,Sample-Routine,Surface Water,2023-05-08,Turbidity,,2.49,NTU,Actual
Lake Erie,67,Sample-Routine,Surface Water,2024-08-21,Turbidity,,1.5,NTU,Actual
Lake Erie,937,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.34,NTU,Actual
Lake Erie,937,Sample-Routine,Surface Water,2023-05-11,Turbidity,,0.49,NTU,Actual
Lake Erie,937,Sample-Routine,Surface Water,2024-08-22,Turbidity,,0.71,NTU,Actual
Lake Ontario,55,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.1,NTU,Actual
Lake Ontario,55,Sample-Routine,Surface Water,2023-04-15,Turbidity,,0.13,NTU,Actual
Lake Erie,881,Sample-Routine,Surface Water,2022-08-20,Turbidity,,1.46,NTU,Actual
Lake Erie,881,Sample-Routine,Surface Water,2023-05-15,Turbidity,,0.76,NTU,Actual
Lake Erie,881,Sample-Routine,Surface Water,2024-08-14,Turbidity,,1.69,NTU,Actual
Lake Huron,99,Sample-Routine,Surface Water,2022-09-20,Turbidity,,2.56,NTU,Actual
Lake Huron,99,Sample-Routine,Surface Water,2024-08-27,Turbidity,,1.76,NTU,Actual
Lake Ontario,86,Sample-Routine,Surface Water,2022-04-25,Turbidity,,0.57,NTU,Actual
Lake Ontario,86,Sample-Routine,Surface Water,2023-04-14,Turbidity,,1.66,NTU,Actual
Lake Ontario,22,Sample-Routine,Surface Water,2022-04-26,Turbidity,,1.99,NTU,Actual
Lake Ontario,22,Sample-Routine,Surface Water,2022-08-10,Turbidity,,0.41,NTU,Actual
Lake Ontario,22,Sample-Routine,Surface Water,2023-04-14,Turbidity,,10.6,NTU,Actual
Lake Huron,82,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.27,NTU,Actual
Lake Huron,82,Sample-Routine,Surface Water,2022-06-04,Turbidity,,0.19,NTU,Actual
Lake Huron,82,Sample-Routine,Surface Water,2024-09-06,Turbidity,,0.28,NTU,Actual
Lake Huron,71,Sample-Routine,Surface Water,2022-06-04,Turbidity,,0.41,NTU,Actual
Lake Huron,71,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.32,NTU,Actual
Lake Huron,71,Sample-Routine,Surface Water,2024-09-05,Turbidity,,0.49,NTU,Actual
Lake Superior,118,Sample-Routine,Surface Water,2024-09-15,Turbidity,,0.12,NTU,Actual
Lake Superior,118,Sample-Routine,Surface Water,2024-06-10,Turbidity,,0.23,NTU,Actual
Lake Superior,43,Sample-Routine,Surface Water,2024-09-14,Turbidity,,0.12,NTU,Actual
Lake Superior,43,Sample-Routine,Surface Water,2024-06-09,Turbidity,,0.12,NTU,Actual
Lake Erie,889,Sample-Routine,Surface Water,2022-08-18,Turbidity,,0.47,NTU,Actual
Lake Erie,889,Sample-Routine,Surface Water,2023-05-18,Turbidity,,1.16,NTU,Actual
Lake Erie,889,Sample-Routine,Surface Water,2024-04-18,Turbidity,,1.64,NTU,Actual
Lake Superior,169,Sample-Routine,Surface Water,2024-06-11,Turbidity,,0.12,NTU,Actual
Lake Superior,169,Sample-Routine,Surface Water,2024-09-17,Turbidity,,0.16,NTU,Actual
Lake Huron,17,Sample-Routine,Surface Water,2022-09-20,Turbidity,,0.21,NTU,Actual
Lake Huron,17,Sample-Routine,Surface Water,2022-05-31,Turbidity,,0.14,NTU,Actual
Lake Huron,17,Sample-Routine,Surface Water,2024-08-27,Turbidity,,0.25,NTU,Actual
Lake Huron,4,Sample-Routine,Surface Water,2022-09-21,Turbidity,,0.41,NTU,Actual
Lake Huron,4,Sample-Routine,Surface Water,2024-08-28,Turbidity,,0.34,NTU,Actual
Lake Erie,880,Sample-Routine,Surface Water,2022-08-18,Turbidity,,0.37,NTU,Actual
Lake Erie,880,Sample-Routine,Surface Water,2023-05-18,Turbidity,,1.13,NTU,Actual
Lake Erie,880,Sample-Routine,Surface Water,2024-08-13,Turbidity,,0.43,NTU,Actual
Lake Ontario,54,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.1,NTU,Actual
Lake Ontario,54,Sample-Routine,Surface Water,2023-04-15,Turbidity,,0.14,NTU,Actual
Lake Superior,152,Sample-Routine,Surface Water,2024-06-13,Turbidity,,0.12,NTU,Actual
Lake Superior,152,Sample-Routine,Surface Water,2024-09-17,Turbidity,,0.14,NTU,Actual
Lake Erie,958,Sample-Routine,Surface Water,2022-08-18,Turbidity,,0.85,NTU,Actual
Lake Erie,958,Sample-Routine,Surface Water,2023-05-18,Turbidity,,3.7,NTU,Actual
Lake Erie,958,Sample-Routine,Surface Water,2024-08-15,Turbidity,,0.82,NTU,Actual
Lake Huron,9,Sample-Routine,Surface Water,2022-05-31,Turbidity,,0.11,NTU,Actual
Lake Huron,9,Sample-Routine,Surface Water,2022-09-20,Turbidity,,0.16,NTU,Actual
Lake Huron,9,Sample-Routine,Surface Water,2024-08-27,Turbidity,,0.14,NTU,Actual
Lake Ontario,30,Sample-Routine,Surface Water,2022-04-21,Turbidity,,0.1,NTU,Actual
Lake Ontario,32,Sample-Routine,Surface Water,2022-04-21,Turbidity,,0.1,NTU,Actual
Lake Huron,58,Sample-Routine,Surface Water,2022-09-16,Turbidity,,0.12,NTU,Actual
Lake Huron,58,Sample-Routine,Surface Water,2024-09-06,Turbidity,,0.2,NTU,Actual
Lake Superior,127,Sample-Routine,Surface Water,2024-09-16,Turbidity,,0.13,NTU,Actual
Lake Superior,127,Sample-Routine,Surface Water,2024-06-15,Turbidity,,0.1,NTU,Actual
Georgian Bay,17,Sample-Routine,Surface Water,2022-06-06,Turbidity,,0.08,NTU,Actual
Georgian Bay,17,Sample-Routine,Surface Water,2022-09-13,Turbidity,,0.14,NTU,Actual
Georgian Bay,17,Sample-Routine,Surface Water,2024-09-09,Turbidity,,0.17,NTU,Actual
Lake Erie,944,Sample-Routine,Surface Water,2022-08-17,Turbidity,,0.5,NTU,Actual
Lake Erie,944,Sample-Routine,Surface Water,2023-05-09,Turbidity,,9.38,NTU,Actual
Lake Erie,944,Sample-Routine,Surface Water,2023-05-09,Turbidity,,8.04,NTU,Actual
Lake Erie,944,Sample-Routine,Surface Water,2024-08-22,Turbidity,,0.56,NTU,Actual
Lake Superior,185,Sample-Routine,Surface Water,2024-09-18,Turbidity,,0.22,NTU,Actual
Lake Superior,185,Sample-Routine,Surface Water,2024-06-12,Turbidity,,0.17,NTU,Actual
Georgian Bay,15,Sample-Routine,Surface Water,2022-09-13,Turbidity,,0.15,NTU,Actual
Georgian Bay,15,Sample-Routine,Surface Water,2022-06-05,Turbidity,,0.09,NTU,Actual
Georgian Bay,15,Sample-Routine,Surface Water,2024-09-10,Turbidity,,0.22,NTU,Actual
Lake Ontario,53,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.3,NTU,Actual
Lake Ontario,53,Sample-Routine,Surface Water,2023-04-15,Turbidity,,1.07,NTU,Actual
Lake Huron,36,Sample-Routine,Surface Water,2022-06-02,Turbidity,,0.17,NTU,Actual
Lake Huron,36,Sample-Routine,Surface Water,2022-09-17,Turbidity,,0.37,NTU,Actual
Lake Huron,36,Sample-Routine,Surface Water,2024-09-04,Turbidity,,0.28,NTU,Actual
Lake Ontario,65,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.11,NTU,Actual
Lake Ontario,65,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.14,NTU,Actual
Lake Erie,959,Sample-Routine,Surface Water,2022-08-18,Turbidity,,1.1,NTU,Actual
Lake Erie,959,Sample-Routine,Surface Water,2023-05-17,Turbidity,,0.96,NTU,Actual
Lake Erie,959,Sample-Routine,Surface Water,2024-08-16,Turbidity,,0.85,NTU,Actual
Georgian Bay,24,Sample-Routine,Surface Water,2022-09-14,Turbidity,,0.17,NTU,Actual
Georgian Bay,24,Sample-Routine,Surface Water,2022-06-05,Turbidity,,0.13,NTU,Actual
Georgian Bay,24,Sample-Routine,Surface Water,2024-09-07,Turbidity,,0.19,NTU,Actual
Lake Erie,964,Sample-Routine,Surface Water,2022-08-19,Turbidity,,0.93,NTU,Actual
Lake Erie,964,Sample-Routine,Surface Water,2023-05-18,Turbidity,,8.74,NTU,Actual
Lake Erie,964,Sample-Routine,Surface Water,2024-08-15,Turbidity,,1.75,NTU,Actual
Lake Ontario,1001,Sample-Routine,Surface Water,2022-04-27,Turbidity,,1.2,NTU,Actual
Lake Ontario,1001,Sample-Routine,Surface Water,2023-04-18,Turbidity,,1.91,NTU,Actual
Lake Superior,138,Sample-Routine,Surface Water,2024-06-14,Turbidity,,0.24,NTU,Actual
Lake Superior,138,Sample-Routine,Surface Water,2024-09-21,Turbidity,,0.22,NTU,Actual
Lake Ontario,909,Sample-Routine,Surface Water,2022-04-27,Turbidity,,1.61,NTU,Actual
Lake Ontario,909,Sample-Routine,Surface Water,2023-04-18,Turbidity,,1.74,NTU,Actual
Lake Huron,56,Sample-Routine,Surface Water,2022-09-16,Turbidity,,0.18,NTU,Actual
Lake Huron,56,Sample-Routine,Surface Water,2024-09-04,Turbidity,,0.2,NTU,Actual
Lake Erie,972,Sample-Routine,Surface Water,2022-08-20,Turbidity,,1.49,NTU,Actual
Lake Erie,972,Sample-Routine,Surface Water,2023-05-16,Turbidity,,2.2,NTU,Actual
Lake Erie,972,Sample-Routine,Surface Water,2024-04-17,Turbidity,,10.6,NTU,Actual
Lake Erie,972,Sample-Routine,Surface Water,2024-08-14,Turbidity,,1.51,NTU,Actual
Lake Huron,87,Sample-Routine,Surface Water,2022-06-04,Turbidity,,0.15,NTU,Actual
Lake Huron,87,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.39,NTU,Actual
Lake Huron,87,Sample-Routine,Surface Water,2024-09-06,Turbidity,,0.27,NTU,Actual
Lake Superior,2,Sample-Routine,Surface Water,2024-06-08,Turbidity,,0.24,NTU,Actual
Lake Superior,2,Sample-Routine,Surface Water,2024-09-13,Turbidity,,0.13,NTU,Actual
Lake Erie,966,Sample-Routine,Surface Water,2022-08-19,Turbidity,,1.88,NTU,Actual
Lake Erie,966,Sample-Routine,Surface Water,2023-05-17,Turbidity,,1.54,NTU,Actual
Lake Erie,966,Sample-Routine,Surface Water,2024-08-15,Turbidity,,1.29,NTU,Actual
Georgian Bay,9,Sample-Routine,Surface Water,2022-06-05,Turbidity,,0.21,NTU,Actual
Georgian Bay,9,Sample-Routine,Surface Water,2022-09-13,Turbidity,,0.38,NTU,Actual
Georgian Bay,9,Sample-Routine,Surface Water,2024-09-10,Turbidity,,0.36,NTU,Actual
Lake Huron,14,Sample-Routine,Surface Water,2022-09-20,Turbidity,,0.19,NTU,Actual
Lake Huron,14,Sample-Routine,Surface Water,2024-08-27,Turbidity,,0.24,NTU,Actual
Lake Ontario,59,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.11,NTU,Actual
Lake Ontario,59,Sample-Routine,Surface Water,2023-04-15,Turbidity,,0.12,NTU,Actual
Lake Erie,960,Sample-Routine,Surface Water,2022-08-18,Turbidity,,0.84,NTU,Actual
Lake Erie,960,Sample-Routine,Surface Water,2023-05-17,Turbidity,,0.77,NTU,Actual
Lake Erie,960,Sample-Routine,Surface Water,2024-08-16,Turbidity,,0.51,NTU,Actual
Lake Superior,137,Sample-Routine,Surface Water,2024-06-14,Turbidity,,0.16,NTU,Actual
Lake Superior,137,Sample-Routine,Surface Water,2024-09-21,Turbidity,,0.18,NTU,Actual
Lake Erie,945,Sample-Routine,Surface Water,2022-08-17,Turbidity,,0.44,NTU,Actual
Lake Erie,945,Sample-Routine,Surface Water,2023-05-10,Turbidity,,1.71,NTU,Actual
Lake Erie,1163,Sample-Routine,Surface Water,2023-05-16,Turbidity,,14.2,NTU,Actual
Lake Erie,1163,Sample-Routine,Surface Water,2023-05-16,Turbidity,,14.2,NTU,Actual
Lake Erie,1163,Sample-Routine,Surface Water,2024-08-14,Turbidity,,5.6,NTU,Actual
Lake Huron,8,Sample-Routine,Surface Water,2022-09-20,Turbidity,,0.2,NTU,Actual
Lake Huron,8,Sample-Routine,Surface Water,2022-05-31,Turbidity,,0.17,NTU,Actual
Lake Huron,8,Sample-Routine,Surface Water,2024-08-26,Turbidity,,0.18,NTU,Actual
Lake Huron,29,Sample-Routine,Surface Water,2022-06-07,Turbidity,,0.11,NTU,Actual
Lake Huron,29,Sample-Routine,Surface Water,2022-09-19,Turbidity,,0.16,NTU,Actual
Lake Huron,29,Sample-Routine,Surface Water,2024-08-29,Turbidity,,0.16,NTU,Actual
Lake Ontario,31,Sample-Routine,Surface Water,2022-04-21,Turbidity,,0.12,NTU,Actual
Lake Ontario,31,Sample-Routine,Surface Water,2023-04-18,Turbidity,,0.15,NTU,Actual
Lake Erie,932,Sample-Routine,Surface Water,2022-08-15,Turbidity,,0.24,NTU,Actual
Lake Erie,932,Sample-Routine,Surface Water,2023-05-08,Turbidity,,1.15,NTU,Actual
